rank,label_id,label_name,support,tp,fp,fn,precision,recall,f1
1,38,xz,10350,325,4866,10025,0.062608,0.031401,0.041825
2,40,exe,10030,409,5070,9621,0.074649,0.040778,0.052744
3,21,mp4,10319,714,7919,9605,0.082706,0.069193,0.075348
4,13,heic,10195,916,10812,9279,0.078104,0.089848,0.083565
5,31,7z,10318,970,11810,9348,0.075900,0.094010,0.083990
6,32,bz2,10350,1426,13904,8924,0.093020,0.137778,0.111059
7,35,pkg,10256,853,2872,9403,0.228993,0.083171,0.122023
8,20,mov,10246,1393,9482,8853,0.128092,0.135955,0.131907
9,33,deb,10384,1460,9824,8924,0.129387,0.140601,0.134761
10,45,docx,10204,1842,12372,8362,0.129591,0.180517,0.150872
