label_id,label_name,support,tp,fp,fn,precision,recall,f1
0,jpg,10182,8983,2988,1199,0.750397,0.882243,0.810996
1,arw,10302,10075,104,227,0.989783,0.977965,0.983839
2,cr2,10174,8975,1351,1199,0.869165,0.882151,0.875610
3,dng,10202,8602,4698,1600,0.646767,0.843168,0.732023
4,gpr,10166,10121,85,45,0.991672,0.995573,0.993619
5,nef,10321,9466,854,855,0.917248,0.917159,0.917204
6,nrw,10285,9922,326,363,0.968189,0.964706,0.966444
7,orf,10302,9060,2438,1242,0.787963,0.879441,0.831193
8,pef,10178,9779,974,399,0.909421,0.960798,0.934404
9,raf,10201,10063,30,138,0.997028,0.986472,0.991722
10,rw2,10339,9965,104,374,0.989671,0.963826,0.976578
11,3fr,10114,10086,28,28,0.997232,0.997232,0.997232
12,tiff,10165,9822,1182,343,0.892585,0.966257,0.927961
13,heic,10195,916,10812,9279,0.078104,0.089848,0.083565
14,bmp,10316,10098,1909,218,0.841009,0.978868,0.904717
15,gif,10302,9797,1475,505,0.869145,0.950980,0.908223
16,png,10056,7516,5339,2540,0.584675,0.747414,0.656104
17,ai,10192,2838,5376,7354,0.345508,0.278454,0.308378
18,eps,10194,10058,35,136,0.996532,0.986659,0.991571
19,psd,10305,9850,357,455,0.965024,0.955847,0.960413
20,mov,10246,1393,9482,8853,0.128092,0.135955,0.131907
21,mp4,10319,714,7919,9605,0.082706,0.069193,0.075348
22,3gp,10330,9187,2259,1143,0.802638,0.889351,0.843773
23,avi,10288,1371,3258,8917,0.296176,0.133262,0.183817
24,mkv,10136,9029,2251,1107,0.800443,0.890785,0.843201
25,ogv,10300,6841,4415,3459,0.607765,0.664175,0.634719
26,webm,10268,4221,5568,6047,0.431198,0.411083,0.420900
27,apk,10071,3610,5900,6461,0.379600,0.358455,0.368725
28,jar,10254,4363,4469,5891,0.493999,0.425492,0.457194
29,msi,10136,1230,3789,8906,0.245069,0.121350,0.162323
30,dmg,10391,2024,7120,8367,0.221347,0.194784,0.207218
31,7z,10318,970,11810,9348,0.075900,0.094010,0.083990
32,bz2,10350,1426,13904,8924,0.093020,0.137778,0.111059
33,deb,10384,1460,9824,8924,0.129387,0.140601,0.134761
34,gz,10320,1604,8116,8716,0.165021,0.155426,0.160080
35,pkg,10256,853,2872,9403,0.228993,0.083171,0.122023
36,rar,10265,2648,20608,7617,0.113863,0.257964,0.157991
37,rpm,10302,1274,1544,9028,0.452094,0.123665,0.194207
38,xz,10350,325,4866,10025,0.062608,0.031401,0.041825
39,zip,10297,1555,6048,8742,0.204525,0.151015,0.173743
40,exe,10030,409,5070,9621,0.074649,0.040778,0.052744
41,mach-o,10109,9479,175,630,0.981873,0.937679,0.959267
42,elf,10205,8954,251,1251,0.972732,0.877413,0.922617
43,dll,10261,9471,689,790,0.932185,0.923009,0.927575
44,doc,10265,9306,1257,959,0.881000,0.906576,0.893605
45,docx,10204,1842,12372,8362,0.129591,0.180517,0.150872
46,key,10343,4934,1953,5409,0.716422,0.477038,0.572722
47,ppt,10198,4367,3802,5831,0.534582,0.428221,0.475527
48,pptx,10309,5027,2718,5282,0.649064,0.487632,0.556885
49,xls,10231,10169,17,62,0.998331,0.993940,0.996131
50,xlsx,10221,9893,578,328,0.944800,0.967909,0.956215
51,djvu,10224,1649,7686,8575,0.176647,0.161287,0.168618
52,epub,10237,3501,15788,6736,0.181502,0.341995,0.237147
53,mobi,10216,7403,30,2813,0.995964,0.724648,0.838914
54,pdf,10239,2516,1644,7723,0.604808,0.245727,0.349469
55,md,10195,9961,198,234,0.980510,0.977048,0.978776
56,rtf,10326,10291,174,35,0.983373,0.996610,0.989948
57,txt,10199,9672,365,527,0.963635,0.948328,0.955920
58,tex,10225,9910,236,315,0.976740,0.969193,0.972952
59,json,10215,10174,30,41,0.997060,0.995986,0.996523
60,html,10220,10004,139,216,0.986296,0.978865,0.982566
61,xml,10263,10258,7,5,0.999318,0.999513,0.999415
62,log,10073,10065,3,8,0.999702,0.999206,0.999454
63,csv,10059,10028,35,31,0.996522,0.996918,0.996720
64,aiff,10283,10241,65,42,0.993693,0.995916,0.994803
65,flac,10176,7189,16913,2987,0.298274,0.706466,0.419453
66,m4a,10318,9838,895,480,0.916612,0.953479,0.934682
67,mp3,10304,9835,648,469,0.938186,0.954484,0.946264
68,ogg,10375,9580,2554,795,0.789517,0.923373,0.851215
69,wav,10145,10142,4,3,0.999606,0.999704,0.999655
70,wma,10287,10139,241,148,0.976782,0.985613,0.981178
71,pcap,10126,5045,650,5081,0.885865,0.498222,0.637760
72,ttf,10278,10129,163,149,0.984162,0.985503,0.984832
73,dwg,10281,9920,432,361,0.958269,0.964887,0.961566
74,sqlite,10288,10166,134,122,0.986990,0.988142,0.987566
