rank,label_id,label_name,support,tp,fp,fn,precision,recall,f1
1,38,xz,10350,528,6958,9822,0.070532,0.051014,0.059206
2,40,exe,10030,603,7450,9427,0.074879,0.060120,0.066692
3,31,7z,10318,736,9796,9582,0.069882,0.071332,0.070600
4,21,mp4,10319,768,8811,9551,0.080175,0.074426,0.077194
5,13,heic,10195,948,12001,9247,0.073210,0.092987,0.081922
6,32,bz2,10350,1456,13552,8894,0.097015,0.140676,0.114836
7,35,pkg,10256,830,2346,9426,0.261335,0.080928,0.123585
8,20,mov,10246,1212,7275,9034,0.142807,0.118290,0.129397
9,33,deb,10384,1466,9793,8918,0.130207,0.141179,0.135471
10,36,rar,10265,2592,20200,7673,0.113724,0.252509,0.156820
