label_id,label_name,support,tp,fp,fn,precision,recall,f1
0,jpg,10182,9018,3101,1164,0.744121,0.885681,0.808753
1,arw,10302,10105,105,197,0.989716,0.980877,0.985277
2,cr2,10174,8996,1324,1178,0.871705,0.884215,0.877915
3,dng,10202,8629,4754,1573,0.644773,0.845815,0.731736
4,gpr,10166,10132,78,34,0.992360,0.996656,0.994503
5,nef,10321,9508,817,813,0.920872,0.921229,0.921050
6,nrw,10285,9945,319,340,0.968920,0.966942,0.967930
7,orf,10302,8966,2222,1336,0.801394,0.870316,0.834435
8,pef,10178,9787,962,391,0.910503,0.961584,0.935347
9,raf,10201,10093,62,108,0.993895,0.989413,0.991649
10,rw2,10339,9982,127,357,0.987437,0.965471,0.976330
11,3fr,10114,10091,32,23,0.996839,0.997726,0.997282
12,tiff,10165,9826,1184,339,0.892461,0.966650,0.928076
13,heic,10195,948,12001,9247,0.073210,0.092987,0.081922
14,bmp,10316,10095,1890,221,0.842303,0.978577,0.905341
15,gif,10302,9750,1485,552,0.867824,0.946418,0.905419
16,png,10056,7477,5303,2579,0.585055,0.743536,0.654843
17,ai,10192,2818,5504,7374,0.338621,0.276491,0.304418
18,eps,10194,10071,42,123,0.995847,0.987934,0.991875
19,psd,10305,9867,356,438,0.965177,0.957496,0.961321
20,mov,10246,1212,7275,9034,0.142807,0.118290,0.129397
21,mp4,10319,768,8811,9551,0.080175,0.074426,0.077194
22,3gp,10330,9193,2181,1137,0.808247,0.889932,0.847125
23,avi,10288,1336,2797,8952,0.323252,0.129860,0.185285
24,mkv,10136,9044,2153,1092,0.807716,0.892265,0.847888
25,ogv,10300,6815,4121,3485,0.623171,0.661650,0.641835
26,webm,10268,4244,6145,6024,0.408509,0.413323,0.410902
27,apk,10071,3693,6100,6378,0.377106,0.366696,0.371828
28,jar,10254,4480,5163,5774,0.464586,0.436903,0.450319
29,msi,10136,1242,3687,8894,0.251978,0.122534,0.164885
30,dmg,10391,1946,6633,8445,0.226833,0.187277,0.205166
31,7z,10318,736,9796,9582,0.069882,0.071332,0.070600
32,bz2,10350,1456,13552,8894,0.097015,0.140676,0.114836
33,deb,10384,1466,9793,8918,0.130207,0.141179,0.135471
34,gz,10320,1530,7347,8790,0.172356,0.148256,0.159400
35,pkg,10256,830,2346,9426,0.261335,0.080928,0.123585
36,rar,10265,2592,20200,7673,0.113724,0.252509,0.156820
37,rpm,10302,1305,1608,8997,0.447992,0.126674,0.197503
38,xz,10350,528,6958,9822,0.070532,0.051014,0.059206
39,zip,10297,1613,7349,8684,0.179982,0.156648,0.167506
40,exe,10030,603,7450,9427,0.074879,0.060120,0.066692
41,mach-o,10109,9482,208,627,0.978535,0.937976,0.957826
42,elf,10205,8949,262,1256,0.971556,0.876923,0.921817
43,dll,10261,9461,552,800,0.944872,0.922035,0.933314
44,doc,10265,9253,1105,1012,0.893319,0.901413,0.897348
45,docx,10204,1911,12182,8293,0.135599,0.187279,0.157303
46,key,10343,4796,2002,5547,0.705502,0.463695,0.559594
47,ppt,10198,4484,3754,5714,0.544307,0.439694,0.486440
48,pptx,10309,5131,2832,5178,0.644355,0.497720,0.561624
49,xls,10231,10168,19,63,0.998135,0.993842,0.995984
50,xlsx,10221,9942,551,279,0.947489,0.972703,0.959930
51,djvu,10224,1767,8087,8457,0.179318,0.172829,0.176014
52,epub,10237,3431,15735,6806,0.179015,0.335157,0.233378
53,mobi,10216,7411,44,2805,0.994098,0.725431,0.838775
54,pdf,10239,2494,1470,7745,0.629162,0.243578,0.351193
55,md,10195,9998,203,197,0.980100,0.980677,0.980388
56,rtf,10326,10288,146,38,0.986007,0.996320,0.991137
57,txt,10199,9678,374,521,0.962793,0.948917,0.955805
58,tex,10225,9897,227,328,0.977578,0.967922,0.972726
59,json,10215,10193,24,22,0.997651,0.997846,0.997749
60,html,10220,10016,103,204,0.989821,0.980039,0.984906
61,xml,10263,10262,0,1,1.000000,0.999903,0.999951
62,log,10073,10069,0,4,1.000000,0.999603,0.999801
63,csv,10059,10030,14,29,0.998606,0.997117,0.997861
64,aiff,10283,10242,55,41,0.994659,0.996013,0.995335
65,flac,10176,7025,15848,3151,0.307131,0.690350,0.425126
66,m4a,10318,9852,780,466,0.926637,0.954836,0.940525
67,mp3,10304,9864,608,440,0.941940,0.957298,0.949557
68,ogg,10375,9541,2284,834,0.806850,0.919614,0.859550
69,wav,10145,10145,6,0,0.999409,1.000000,0.999704
70,wma,10287,10153,227,134,0.978131,0.986974,0.982533
71,pcap,10126,5071,550,5055,0.902153,0.500790,0.644059
72,ttf,10278,10141,130,137,0.987343,0.986671,0.987007
73,dwg,10281,9921,414,360,0.959942,0.964984,0.962456
74,sqlite,10288,10168,101,120,0.990165,0.988336,0.989249
