rank,label_id,label_name,support,tp,fp,fn,precision,recall,f1
1,40,exe,10030,443,5151,9587,0.079192,0.044167,0.056708
2,38,xz,10350,514,6424,9836,0.074085,0.049662,0.059463
3,31,7z,10318,858,10528,9460,0.075356,0.083156,0.079064
4,13,heic,10195,1093,12842,9102,0.078436,0.107209,0.090593
5,21,mp4,10319,969,8155,9350,0.106203,0.093904,0.099676
6,20,mov,10246,1492,7473,8754,0.166425,0.145618,0.155328
7,32,bz2,10350,3666,32630,6684,0.101003,0.354203,0.157184
8,35,pkg,10256,1375,3967,8881,0.257394,0.134068,0.176305
9,45,docx,10204,2093,9606,8111,0.178904,0.205116,0.191115
10,36,rar,10265,3076,18666,7189,0.141477,0.299659,0.192208
