label_id,label_name,support,tp,fp,fn,precision,recall,f1
0,jpg,10182,9311,1349,871,0.873452,0.914457,0.893484
1,arw,10302,10102,114,200,0.988841,0.980586,0.984696
2,cr2,10174,9511,765,663,0.925555,0.934834,0.930171
3,dng,10202,9005,2777,1197,0.764301,0.882670,0.819232
4,gpr,10166,10135,30,31,0.997049,0.996951,0.997000
5,nef,10321,9727,559,594,0.945654,0.942447,0.944048
6,nrw,10285,10003,268,282,0.973907,0.972581,0.973244
7,orf,10302,9379,1208,923,0.885898,0.910406,0.897985
8,pef,10178,9879,574,299,0.945088,0.970623,0.957685
9,raf,10201,10145,27,56,0.997346,0.994510,0.995926
10,rw2,10339,10066,155,273,0.984835,0.973595,0.979183
11,3fr,10114,10108,25,6,0.997533,0.999407,0.998469
12,tiff,10165,9803,569,362,0.945141,0.964388,0.954667
13,heic,10195,1093,12842,9102,0.078436,0.107209,0.090593
14,bmp,10316,10107,1752,209,0.852264,0.979740,0.911567
15,gif,10302,9660,1242,642,0.886076,0.937682,0.911149
16,png,10056,8115,3140,1941,0.721013,0.806981,0.761579
17,ai,10192,3501,5987,6691,0.368992,0.343505,0.355793
18,eps,10194,10068,31,126,0.996930,0.987640,0.992263
19,psd,10305,10015,262,290,0.974506,0.971858,0.973180
20,mov,10246,1492,7473,8754,0.166425,0.145618,0.155328
21,mp4,10319,969,8155,9350,0.106203,0.093904,0.099676
22,3gp,10330,9696,938,634,0.911792,0.938625,0.925014
23,avi,10288,1330,1378,8958,0.491137,0.129277,0.204678
24,mkv,10136,9367,832,769,0.918423,0.924132,0.921269
25,ogv,10300,8212,1714,2088,0.827322,0.797282,0.812024
26,webm,10268,4373,3143,5895,0.581825,0.425886,0.491790
27,apk,10071,4580,4514,5491,0.503629,0.454771,0.477955
28,jar,10254,5450,3182,4804,0.631372,0.531500,0.577147
29,msi,10136,1785,2906,8351,0.380516,0.176105,0.240777
30,dmg,10391,2550,5029,7841,0.336456,0.245405,0.283806
31,7z,10318,858,10528,9460,0.075356,0.083156,0.079064
32,bz2,10350,3666,32630,6684,0.101003,0.354203,0.157184
33,deb,10384,1860,6794,8524,0.214930,0.179122,0.195399
34,gz,10320,2494,6430,7826,0.279471,0.241667,0.259198
35,pkg,10256,1375,3967,8881,0.257394,0.134068,0.176305
36,rar,10265,3076,18666,7189,0.141477,0.299659,0.192208
37,rpm,10302,1540,1512,8762,0.504587,0.149486,0.230643
38,xz,10350,514,6424,9836,0.074085,0.049662,0.059463
39,zip,10297,2495,4628,7802,0.350274,0.242304,0.286452
40,exe,10030,443,5151,9587,0.079192,0.044167,0.056708
41,mach-o,10109,9576,190,533,0.980545,0.947275,0.963623
42,elf,10205,9050,222,1155,0.976057,0.886820,0.929301
43,dll,10261,9615,397,646,0.960348,0.937043,0.948552
44,doc,10265,9699,563,566,0.945137,0.944861,0.944999
45,docx,10204,2093,9606,8111,0.178904,0.205116,0.191115
46,key,10343,5802,1890,4541,0.754290,0.560959,0.643416
47,ppt,10198,5727,3377,4471,0.629064,0.561581,0.593410
48,pptx,10309,6022,2399,4287,0.715117,0.584150,0.643033
49,xls,10231,10172,18,59,0.998234,0.994233,0.996229
50,xlsx,10221,9916,392,305,0.961971,0.970159,0.966048
51,djvu,10224,2026,6847,8198,0.228333,0.198161,0.212180
52,epub,10237,4166,13706,6071,0.233102,0.406955,0.296418
53,mobi,10216,7436,56,2780,0.992525,0.727878,0.839846
54,pdf,10239,3082,1535,7157,0.667533,0.301006,0.414917
55,md,10195,10125,123,70,0.987998,0.993134,0.990559
56,rtf,10326,10312,77,14,0.992588,0.998644,0.995607
57,txt,10199,9695,133,504,0.986467,0.950583,0.968193
58,tex,10225,10047,199,178,0.980578,0.982592,0.981584
59,json,10215,10199,2,16,0.999804,0.998434,0.999118
60,html,10220,10094,87,126,0.991455,0.987671,0.989559
61,xml,10263,10260,0,3,1.000000,0.999708,0.999854
62,log,10073,10068,3,5,0.999702,0.999504,0.999603
63,csv,10059,10042,18,17,0.998211,0.998310,0.998260
64,aiff,10283,10251,52,32,0.994953,0.996888,0.995920
65,flac,10176,7758,14954,2418,0.341582,0.762382,0.471783
66,m4a,10318,10190,48,128,0.995312,0.987594,0.991438
67,mp3,10304,10081,247,223,0.976084,0.978358,0.977220
68,ogg,10375,9912,654,463,0.938103,0.955373,0.946660
69,wav,10145,10141,7,4,0.999310,0.999606,0.999458
70,wma,10287,10208,34,79,0.996680,0.992320,0.994496
71,pcap,10126,5977,2045,4149,0.745076,0.590263,0.658695
72,ttf,10278,10185,112,93,0.989123,0.990952,0.990036
73,dwg,10281,9983,274,298,0.973287,0.971014,0.972149
74,sqlite,10288,10262,33,26,0.996795,0.997473,0.997134
