rank,label_id,label_name,support,tp,fp,fn,precision,recall,f1
1,40,exe,10030,301,3894,9729,0.071752,0.030010,0.042320
2,38,xz,10350,443,5572,9907,0.073649,0.042802,0.054140
3,31,7z,10318,760,9607,9558,0.073310,0.073658,0.073483
4,21,mp4,10319,828,7726,9491,0.096797,0.080240,0.087744
5,13,heic,10195,1274,14484,8921,0.080848,0.124963,0.098177
6,35,pkg,10256,770,2847,9486,0.212884,0.075078,0.111007
7,32,bz2,10350,2795,27241,7555,0.093055,0.270048,0.138414
8,29,msi,10136,1029,3407,9107,0.231966,0.101519,0.141230
9,45,docx,10204,1433,8596,8771,0.142886,0.140435,0.141650
10,33,deb,10384,1517,8904,8867,0.145571,0.146090,0.145830
