label_id,label_name,support,tp,fp,fn,precision,recall,f1
0,jpg,10182,9124,2738,1058,0.769179,0.896091,0.827799
1,arw,10302,10067,97,235,0.990457,0.977189,0.983778
2,cr2,10174,9213,943,961,0.907148,0.905544,0.906345
3,dng,10202,8936,4543,1266,0.662957,0.875907,0.754698
4,gpr,10166,10111,60,55,0.994101,0.994590,0.994345
5,nef,10321,9396,919,925,0.910906,0.910377,0.910642
6,nrw,10285,9921,313,364,0.969416,0.964609,0.967006
7,orf,10302,9097,1820,1205,0.833288,0.883032,0.857439
8,pef,10178,9691,787,487,0.924890,0.952152,0.938323
9,raf,10201,10082,60,119,0.994084,0.988334,0.991201
10,rw2,10339,9928,89,411,0.991115,0.960248,0.975437
11,3fr,10114,10083,32,31,0.996836,0.996935,0.996886
12,tiff,10165,9749,1134,416,0.895801,0.959075,0.926359
13,heic,10195,1274,14484,8921,0.080848,0.124963,0.098177
14,bmp,10316,10099,1807,217,0.848228,0.978965,0.908919
15,gif,10302,9498,1984,804,0.827208,0.921957,0.872016
16,png,10056,7598,5137,2458,0.596623,0.755569,0.666754
17,ai,10192,2664,5553,7528,0.324206,0.261381,0.289424
18,eps,10194,10062,47,132,0.995351,0.987051,0.991184
19,psd,10305,9823,359,482,0.964742,0.953227,0.958950
20,mov,10246,1657,8857,8589,0.157599,0.161722,0.159634
21,mp4,10319,828,7726,9491,0.096797,0.080240,0.087744
22,3gp,10330,9359,1486,971,0.862978,0.906002,0.883967
23,avi,10288,1259,1021,9029,0.552193,0.122376,0.200350
24,mkv,10136,9166,1389,970,0.868404,0.904301,0.885989
25,ogv,10300,7409,3603,2891,0.672811,0.719320,0.695289
26,webm,10268,4327,3340,5941,0.564367,0.421406,0.482520
27,apk,10071,3982,5913,6089,0.402425,0.395393,0.398878
28,jar,10254,5340,5940,4914,0.473404,0.520772,0.495960
29,msi,10136,1029,3407,9107,0.231966,0.101519,0.141230
30,dmg,10391,2397,7395,7994,0.244792,0.230680,0.237527
31,7z,10318,760,9607,9558,0.073310,0.073658,0.073483
32,bz2,10350,2795,27241,7555,0.093055,0.270048,0.138414
33,deb,10384,1517,8904,8867,0.145571,0.146090,0.145830
34,gz,10320,1817,6350,8503,0.222481,0.176066,0.196571
35,pkg,10256,770,2847,9486,0.212884,0.075078,0.111007
36,rar,10265,3013,22257,7252,0.119232,0.293522,0.169579
37,rpm,10302,1451,2181,8851,0.399504,0.140846,0.208268
38,xz,10350,443,5572,9907,0.073649,0.042802,0.054140
39,zip,10297,1741,4966,8556,0.259580,0.169078,0.204775
40,exe,10030,301,3894,9729,0.071752,0.030010,0.042320
41,mach-o,10109,9476,221,633,0.977209,0.937383,0.956882
42,elf,10205,8943,304,1262,0.967124,0.876335,0.919494
43,dll,10261,9514,631,747,0.937802,0.927200,0.932471
44,doc,10265,9384,1044,881,0.899885,0.914174,0.906973
45,docx,10204,1433,8596,8771,0.142886,0.140435,0.141650
46,key,10343,5030,1555,5313,0.763857,0.486319,0.594282
47,ppt,10198,4857,3632,5341,0.572152,0.476270,0.519827
48,pptx,10309,5438,2549,4871,0.680856,0.527500,0.594447
49,xls,10231,10173,14,58,0.998626,0.994331,0.996474
50,xlsx,10221,9820,532,401,0.948609,0.960767,0.954649
51,djvu,10224,1933,6182,8291,0.238201,0.189065,0.210808
52,epub,10237,3863,15756,6374,0.196901,0.377357,0.258775
53,mobi,10216,7402,48,2814,0.993557,0.724550,0.837994
54,pdf,10239,2464,766,7775,0.762848,0.240649,0.365877
55,md,10195,10118,158,77,0.984624,0.992447,0.988520
56,rtf,10326,10320,105,6,0.989928,0.999419,0.994651
57,txt,10199,9720,184,479,0.981422,0.953035,0.967020
58,tex,10225,9984,211,241,0.979304,0.976430,0.977865
59,json,10215,10190,9,25,0.999118,0.997553,0.998334
60,html,10220,10061,100,159,0.990158,0.984442,0.987292
61,xml,10263,10255,2,8,0.999805,0.999221,0.999513
62,log,10073,10067,5,6,0.999504,0.999404,0.999454
63,csv,10059,10025,30,34,0.997016,0.996620,0.996818
64,aiff,10283,10222,64,61,0.993778,0.994068,0.993923
65,flac,10176,7178,14593,2998,0.329705,0.705385,0.449369
66,m4a,10318,10153,108,165,0.989475,0.984009,0.986734
67,mp3,10304,9988,236,316,0.976917,0.969332,0.973110
68,ogg,10375,9695,1311,680,0.880883,0.934458,0.906880
69,wav,10145,10141,6,4,0.999409,0.999606,0.999507
70,wma,10287,10182,71,105,0.993075,0.989793,0.991431
71,pcap,10126,5249,211,4877,0.961355,0.518369,0.673553
72,ttf,10278,10162,168,116,0.983737,0.988714,0.986219
73,dwg,10281,9961,335,320,0.967463,0.968875,0.968168
74,sqlite,10288,10236,47,52,0.995429,0.994946,0.995187
