rank,label_id,label_name,support,tp,fp,fn,precision,recall,f1
1,38,xz,10350,69,1311,10281,0.050000,0.006667,0.011765
2,31,7z,10318,381,5869,9937,0.060960,0.036926,0.045992
3,40,exe,10030,345,4075,9685,0.078054,0.034397,0.047751
4,13,heic,10195,762,9947,9433,0.071155,0.074743,0.072905
5,21,mp4,10319,930,9294,9389,0.090962,0.090125,0.090542
6,35,pkg,10256,719,1140,9537,0.386767,0.070105,0.118696
7,33,deb,10384,866,2334,9518,0.270625,0.083398,0.127503
8,45,docx,10204,957,3148,9247,0.233130,0.093787,0.133762
9,32,bz2,10350,5879,68105,4471,0.079463,0.568019,0.139422
10,36,rar,10265,1462,7944,8803,0.155433,0.142426,0.148645
