label_id,label_name,support,tp,fp,fn,precision,recall,f1
0,jpg,10182,9222,3008,960,0.754047,0.905716,0.822952
1,arw,10302,10098,282,204,0.972832,0.980198,0.976501
2,cr2,10174,9378,776,796,0.923577,0.921761,0.922668
3,dng,10202,9122,4249,1080,0.682223,0.894138,0.773936
4,gpr,10166,10110,61,56,0.994003,0.994491,0.994247
5,nef,10321,9565,656,756,0.935818,0.926751,0.931263
6,nrw,10285,9942,211,343,0.979218,0.966650,0.972894
7,orf,10302,9047,1758,1255,0.837298,0.878179,0.857251
8,pef,10178,9941,2760,237,0.782694,0.976714,0.869007
9,raf,10201,10102,41,99,0.995958,0.990295,0.993118
10,rw2,10339,9919,50,420,0.994984,0.959377,0.976856
11,3fr,10114,10084,38,30,0.996246,0.997034,0.996640
12,tiff,10165,9794,4691,371,0.676148,0.963502,0.794645
13,heic,10195,762,9947,9433,0.071155,0.074743,0.072905
14,bmp,10316,10099,1793,217,0.849226,0.978965,0.909492
15,gif,10302,9984,225,318,0.977961,0.969132,0.973526
16,png,10056,7425,4865,2631,0.604150,0.738365,0.664548
17,ai,10192,2703,2399,7489,0.529792,0.265208,0.353472
18,eps,10194,10070,30,124,0.997030,0.987836,0.992412
19,psd,10305,9954,577,351,0.945209,0.965939,0.955462
20,mov,10246,1948,13501,8298,0.126092,0.190123,0.151625
21,mp4,10319,930,9294,9389,0.090962,0.090125,0.090542
22,3gp,10330,9583,1278,747,0.882331,0.927686,0.904441
23,avi,10288,1263,598,9025,0.678667,0.122764,0.207918
24,mkv,10136,9522,2334,614,0.803138,0.939424,0.865951
25,ogv,10300,6990,775,3310,0.900193,0.678641,0.773872
26,webm,10268,4370,4000,5898,0.522103,0.425594,0.468934
27,apk,10071,3913,3440,6158,0.532164,0.388541,0.449151
28,jar,10254,4126,1276,6128,0.763791,0.402380,0.527082
29,msi,10136,1057,1125,9079,0.484418,0.104282,0.171619
30,dmg,10391,1422,1536,8969,0.480730,0.136849,0.213050
31,7z,10318,381,5869,9937,0.060960,0.036926,0.045992
32,bz2,10350,5879,68105,4471,0.079463,0.568019,0.139422
33,deb,10384,866,2334,9518,0.270625,0.083398,0.127503
34,gz,10320,1792,4227,8528,0.297724,0.173643,0.219352
35,pkg,10256,719,1140,9537,0.386767,0.070105,0.118696
36,rar,10265,1462,7944,8803,0.155433,0.142426,0.148645
37,rpm,10302,1568,1823,8734,0.462400,0.152203,0.229022
38,xz,10350,69,1311,10281,0.050000,0.006667,0.011765
39,zip,10297,2071,5600,8226,0.269978,0.201127,0.230521
40,exe,10030,345,4075,9685,0.078054,0.034397,0.047751
41,mach-o,10109,9590,314,519,0.968296,0.948660,0.958377
42,elf,10205,9015,309,1190,0.966860,0.883390,0.923242
43,dll,10261,9698,2025,563,0.827263,0.945132,0.882278
44,doc,10265,9406,975,859,0.906078,0.916318,0.911169
45,docx,10204,957,3148,9247,0.233130,0.093787,0.133762
46,key,10343,4568,2286,5775,0.666472,0.441651,0.531255
47,ppt,10198,5448,3735,4750,0.593270,0.534222,0.562200
48,pptx,10309,5533,3816,4776,0.591828,0.536715,0.562926
49,xls,10231,10178,31,53,0.996963,0.994820,0.995890
50,xlsx,10221,9718,267,503,0.973260,0.950788,0.961893
51,djvu,10224,1912,6268,8312,0.233741,0.187011,0.207781
52,epub,10237,4333,16999,5904,0.203122,0.423269,0.274510
53,mobi,10216,7429,39,2787,0.994778,0.727193,0.840195
54,pdf,10239,2941,1732,7298,0.629360,0.287235,0.394447
55,md,10195,9971,114,224,0.988696,0.978028,0.983333
56,rtf,10326,10319,91,7,0.991258,0.999322,0.995274
57,txt,10199,9245,319,954,0.966646,0.906461,0.935587
58,tex,10225,10066,674,159,0.937244,0.984450,0.960267
59,json,10215,10203,7,12,0.999314,0.998825,0.999070
60,html,10220,10068,102,152,0.989971,0.985127,0.987543
61,xml,10263,10263,9,0,0.999124,1.000000,0.999562
62,log,10073,10070,3,3,0.999702,0.999702,0.999702
63,csv,10059,10029,8,30,0.999203,0.997018,0.998109
64,aiff,10283,10113,95,170,0.990694,0.983468,0.987067
65,flac,10176,7780,19083,2396,0.289618,0.764544,0.420098
66,m4a,10318,10210,497,108,0.953582,0.989533,0.971225
67,mp3,10304,10049,455,255,0.956683,0.975252,0.965879
68,ogg,10375,9688,1091,687,0.898785,0.933783,0.915950
69,wav,10145,10143,7,2,0.999310,0.999803,0.999557
70,wma,10287,10198,14,89,0.998629,0.991348,0.994975
71,pcap,10126,5719,481,4407,0.922419,0.564784,0.700600
72,ttf,10278,10158,93,120,0.990928,0.988325,0.989624
73,dwg,10281,9954,118,327,0.988284,0.968194,0.978136
74,sqlite,10288,10197,27,91,0.997359,0.991155,0.994247
