rank,label_id,label_name,diff_f1
1,25,ogv,0.170189
2,28,jar,0.126828
3,39,zip,0.118946
4,47,ppt,0.106970
5,16,png,0.106736
6,27,apk,0.106127
7,34,gz,0.099798
8,3,dng,0.087496
9,68,ogg,0.087110
10,0,jpg,0.084731
11,46,key,0.083822
12,48,pptx,0.081409
13,26,webm,0.080888
14,30,dmg,0.078640
15,22,3gp,0.077889
16,29,msi,0.075892
17,24,mkv,0.073381
18,54,pdf,0.063724
19,7,orf,0.063550
20,52,epub,0.063040
21,33,deb,0.059928
22,35,pkg,0.052720
23,2,cr2,0.052256
24,17,ai,0.051375
25,66,m4a,0.050913
26,44,doc,0.047651
27,65,flac,0.046657
28,32,bz2,0.042348
29,51,djvu,0.036166
30,36,rar,0.035388
31,45,docx,0.033812
32,37,rpm,0.033140
33,67,mp3,0.027663
34,12,tiff,0.026591
35,20,mov,0.025931
36,5,nef,0.022998
37,21,mp4,0.022482
38,8,pef,0.022338
39,23,avi,0.019393
40,43,dll,0.015238
41,71,pcap,0.014636
42,57,txt,0.012388
43,70,wma,0.011963
44,19,psd,0.011859
45,55,md,0.010171
46,73,dwg,0.009693
47,58,tex,0.008858
48,13,heic,0.008671
49,31,7z,0.008464
50,74,sqlite,0.007885
51,42,elf,0.007484
52,14,bmp,0.006226
53,50,xlsx,0.006118
54,41,mach-o,0.005797
55,15,gif,0.005730
56,6,nrw,0.005314
57,60,html,0.004653
58,56,rtf,0.004470
59,9,raf,0.004277
60,72,ttf,0.003029
61,10,rw2,0.002853
62,4,gpr,0.002497
63,59,json,0.001369
64,11,3fr,0.001187
65,53,mobi,0.001071
66,64,aiff,0.000585
67,63,csv,0.000399
68,18,eps,0.000388
69,38,xz,0.000257
70,49,xls,0.000245
71,61,xml,-0.000097
72,62,log,-0.000198
73,69,wav,-0.000246
74,1,arw,-0.000581
75,40,exe,-0.009984
